Movie,Critic Name,Critic Rating,Critic Original Score,Critic Text,Critic Date
No One Will Save You,Paul Whitington,fresh,3/5,"The sound design is excellent, the decision to almost entirely avoid dialogue daring, but No One Will Save You unravels somewhat in a hurried ending, and should perhaps have remained small and resisted the temptation to explain itself.","Sep 28, 2023"
No One Will Save You,Valerie Complex,fresh,,This nearly dialogue-less feat is entirely carried by Dever’s performance.,"Sep 28, 2023"
No One Will Save You,Mark Hughes,fresh,,[E]xpertly paced and gets endless mileage from its premise. ... [A] brilliant lead performance by Kaitlyn Dever. ... [T]he best horror film of 2023 so far.,"Sep 28, 2023"
No One Will Save You,Ruben Peralta Rigaud,fresh,,A film that truly stands out in the often interchangeable genre of horror. [Full review in Spanish],"Sep 27, 2023"
No One Will Save You,Mike Scott,rotten,2/4,A well-crafted genre thriller that is ultimately tripped up by its arthouse aspirations.,"Sep 27, 2023"
No One Will Save You,Erick Estrada,fresh,,"A very interesting, beautiful, and entertaining movie. [Full review in Spanish]","Sep 27, 2023"
No One Will Save You,Aaron Neuwirth,fresh,7/10,"Right up front, I will say this is a very effective home invasion thriller featuring some extraterrestrial edge. If anyone plans to go in blind, now is the time to watch this film, as it’s pretty solid and features some neat surprises.","Sep 27, 2023"
No One Will Save You,Paul McGuire Grimes,fresh,4.5/5,Brian Duffield is a strong visual storyteller who packs an emotional punch with No One Will Save You.,"Sep 27, 2023"
No One Will Save You,Josh Bell,fresh,,It's an impressive piece of craftsmanship that immediately grabs the audience's attention and doesn't let go for 90 minutes.,"Sep 27, 2023"
No One Will Save You,Rafael Santisteban,fresh,,"No One Will Save You is a terrifying, immersive and revealing experience... [Full review in Spanish]","Sep 26, 2023"
No One Will Save You,Jennifer Green,fresh,4/5,"Chalk that up to a riveting performance by Dever, on screen for the entirety of No One Will Save You, as well as to a tightly constructed story.","Sep 26, 2023"
No One Will Save You,Jeff York,fresh,4/4,"This one is the year’s best horror movie, not to mention one of 2023’s very best, period.","Sep 26, 2023"
The Beasts,Sarah Boslaugh,fresh,7/10,...a profoundly upsetting story given a gripping treatment...,"Sep 26, 2023"
The Beasts,Farah Cheded,fresh,,"A slow-burn Spanish thriller hissing with menacing energy and brilliant performances [...] Beautifully shot yet spiritually ugly, [it] plunges us straight into an atmosphere of crackling social tension that never abates.","Sep 16, 2023"
The Beasts,Jorge Ignacio Castillo,fresh,4/5,"The Beasts trades on topics so current it feels like watching the news. While not quite a re-enactment, this superb thriller takes inspiration from oh-so-many immigrants who find themselves at the receiving end of the locals’ misplaced anger.","Aug 31, 2023"
The Beasts,Laura Hiros,fresh,4/5,"""As Bestas"", its original title in Galician, will do with its deep plot, its extraordinary performances, its leisurely pace and its impeccable cinematography that your blood starts freezing slowly...[Full Review in Spanish}","Aug 18, 2023"
The Beasts,Claudia Puig,fresh,,A well-made and eerie thriller.,"Aug 17, 2023"
The Beasts,Chris Knight,fresh,A,Sorogoyen based The Beasts on a true-crime story that took place in his native Spain more than a decade ago. But it’s burnished with storytelling flourishes that energize this story of a dispute between an immigrant couple and rural locals.,"Aug 11, 2023"
The Beasts,Carlos Aguilar,fresh,,"For its second half, in the aftermath of a twist that shouldn’t be spoiled, the film takes on an unexpected depth and even a semblance of closure, though it shouldn’t be a surprise that no one fully gets what they want.","Aug 7, 2023"
The Beasts,Morgan Rojas,fresh,4/5,A simmering piece of filmmaking (with a gorgeously organic soundtrack) that broods with tension and despair.,"Aug 4, 2023"
The Beasts,Josh Goller,fresh,4/5,"By juxtaposing natural majesty with human depravity, Sorogoyen’s film reminds us how quickly an idyllic dream can turn into a nightmare.","Aug 1, 2023"
The Beasts,Kyle Smith,fresh,,"In balancing the two sides’ competing motives, Mr. Sorogoyen has fashioned not only a taut drama but a parable that is widely applicable across many cultures at this moment.","Aug 1, 2023"
The Beasts,Andy Crump,fresh,9.5/10,"Sorogoyen constructs this destructive exercise in dick-swinging with firm, lyrical visual language","Jul 31, 2023"
The Beasts,Simon Abrams,fresh,3/4,"“The Beasts” may not be realistic, but it is genuinely eerie.","Jul 28, 2023"
The Beasts,Peter Debruge,fresh,,"A deeply uncomfortable portrait of everyday evil that’s all the more terrifying for being true — not the two main characters, who are fictional, but the conflict that comes to define their new life in that wild corner of northwest Spain.","Jul 28, 2023"
The Beasts,Todd Jorgenson,fresh,,"Exploring dark universal themes with rich cultural specificity, this captivating thriller builds steady tension around its feuding characters.","Jul 28, 2023"
The Beasts,Filipe Freitas,fresh,5/5,"Benefitting from incredibly sincere performances from the four leads, Sorogoyen doles out a dark, shattering piece of filmmaking that is as brutal as it is essential.","Jul 28, 2023"
The Beasts,Josh Parham,fresh,7/10,"Director Rodrigo Sorogoyen carefully calibrates the tension quite effectively, letting silences build the stress between every unsaid word that leads to violent action.","Jul 28, 2023"
The Beasts,Nick Schager,fresh,,"A controlled and concise pot-boiler of stresses and strains that nobody is capable of managing, much less quelling.","Jul 28, 2023"
The Beasts,Mark Dujsik,fresh,3/4,The whole thing escalates to a crescendo of seemingly unavoidable horror...,"Jul 28, 2023"
The Beasts,Beatrice Loayza,fresh,,An engrossing rural thriller...,"Jul 27, 2023"
The Beasts,Roger Moore,fresh,3.5/4,"A masterfully tense, suspenseful tale","Jul 27, 2023"
Talk to Me,Rubén Rosario,rotten,,"It works like gangbusters until it really doesn't. Still, there is something to be said for a near miss that leaves you somewhat intrigued for what the filmmakers will do next.","Oct 2, 2023"
Talk to Me,Tomás Andrés,fresh,4/5,"It has a good rhythm and curated visual work - characters that appear slightly blurred, dark lighting, overwhelming close-ups - that contributes to creating a disturbing atmosphere throughout the film. [Full review in Spanish]","Sep 29, 2023"
Talk to Me,Anthony Gagliardi,fresh,,"Talk to Me is TWISTED, TERRIFYING, and the BEST HORROR film of the year. Directors Danny and Michael Philippou deliver inventive and genuine scares that will linger long after watching.","Sep 27, 2023"
Talk to Me,Filipe Freitas,fresh,3.5/5,"Despite its flaws and the relatively simple concept, Talk To Me proves to be a successful spookster for the majority of its runtime.","Sep 27, 2023"
Talk to Me,Fedor Tot,fresh,3/5,"The debut from YouTubers-turned-filmmakers the Philippou brothers makes for sharp, bloody viewing, even if it runs out of steam","Sep 20, 2023"
Talk to Me,John Serba,fresh,,"Although Talk to Me isn’t particularly innovative, it does show considerable skill from the Philippous, who show some inspired visual acumen and keenly balance the gross/scary/funny equation, two things that better horror films do.","Sep 18, 2023"
Talk to Me,Nadine Whitney,fresh,A+,"Talk to Me is a sleek, frightening, and unique construction that digs into teen loneliness and dispossession through actual possession. It is literally bone crunching and ferocious with gore aplenty but is also empathetic.","Sep 6, 2023"
Talk to Me,Bob Grimm,fresh,3.75/5,"It's committed to the darkness of its premise, and I like that.","Sep 2, 2023"
Talk to Me,Daniel Rester,fresh,,"Despite its minor issues, Talk to Me is still a hell of a debut feature and an excellent Australian horror picture. Wilde is absolutely terrific in it as Mia and the Philippous inject new ideas into ancient formulas.","Aug 26, 2023"
Talk to Me,JD Duran,fresh,B-,"TALK TO ME is extremely effective as a horror film, but I don't know if its ambiguity (in the end) completely works as its final moments are arguably misguided.","Aug 23, 2023"
Talk to Me,Yasser Medina,rotten,5/10,"A supernatural horror film that shakes hands with topics about the grief of loss and adolescent fragilities, but whose core remains trapped in a chapter of possessions and jump scares that lack any kind of chills. [Full review in Spanish]","Aug 22, 2023"
Talk to Me,Jorge Rivera Rubio,rotten,2/5,"The concept is cool. The performances are solid, with a haunting atmosphere that keeps the tension going during crucial moments... but I couldn't connect at all. [Full review in Spanish]","Aug 18, 2023"
Talk to Me,Cris Parker,fresh,,A refreshing Horror film that builds on its story & characters over just visuals that will shock you. Fantastic film.,"Aug 16, 2023"
Talk to Me,Paul Salfen,fresh,8.5/10,"The shock value of the violence and terrifying imagery is enough to stay with you long after you leave the theater so be warned. However, cinephiles will know that since it's an A24 film, it's going to stand out in more than a cheap jump scare way.","Aug 16, 2023"
Talk to Me,Matthew Pejkovic,fresh,4/5,"A frightening and innovative tale of grief, loneliness, and the dire consequences of messing with the dark arts.","Aug 16, 2023"
Talk to Me,Sarah Vincent,fresh,2.5/4,"The Philippou twins, aka YouTubers RackaRacka, make a chilling feature debut as they chart Mia’s journey from cherished friend to exiled girl alone and in grief and guilt.","Aug 16, 2023"
Talk to Me,Alan Jones,fresh,3/5,"The Philippous refreshingly mine their own viral video experiences, as well as the potent concept of trauma allowing otherworldly forces to take body control. The confident style and sharp imagery make this worthwhile viewing for horror aficionados.","Aug 15, 2023"
Talk to Me,Surya Komal,fresh,3/5,"""Talk to Me"" is a compelling watch, showcasing skilled direction, emotional depth, excellent sound design, and a standout background score. Although it excels in many aspects, it falls short of perfection and the hype surrounding it.","Aug 15, 2023"
Talk to Me,Tina Kakadelis,fresh,,"Gripping from the beginning and unrelenting in its terror, Talk to Me will surely be the source of nightmares for many.","Aug 14, 2023"
Talk to Me,José Roberto Landaverde,fresh,4.5/5,"Talk to me is pure horror. A creative, rebellious and fast-paced study of anxiety in the age of immediacy. [Full review in Spanish]","Aug 14, 2023"
Gran Turismo,Rachel Ho,fresh,6/10,"The story is let down by an incredibly slow start, although it just narrowly squeaks by as it crosses the finish line.","Sep 28, 2023"
Gran Turismo,Michael Ward,fresh,3/5,...a rousing crowd pleaser - dented and battered perhaps - but mostly intact.,"Sep 24, 2023"
Gran Turismo,Neal Pollack,fresh,3/5,"While not as good as two other recent car-racing movies, Ron Howard’s ‘Rush’ and James Mangold’s ‘Ford V. Ferrari,’ ‘Gran Turismo’ is still a fairly effective underdog story with some cool driving scenes.","Sep 17, 2023"
Gran Turismo,John McDonald,fresh,,"The underlying message is the improbable suggestion that a video game can lead to a glamorous, exciting, well-paid profession.","Sep 17, 2023"
Gran Turismo,Edwin Arnaudin,fresh,B+,A return to form for Neill Blomkamp.,"Sep 14, 2023"
Gran Turismo,Griffin Schiller,fresh,A-,"Neill embraces the fact that his movie is based on a game but also doesn’t limit himself to it. Gran Turismo is not ashamed of being a video game movie, and its very story is a celebration of the people who play the games.","Sep 14, 2023"
Gran Turismo,Mark Jackson,fresh,4/5,"It's ""Top Gun"" meets ""The Hill."" Fun and inspiring!","Sep 13, 2023"
Gran Turismo,Candice McMillan,fresh,,"[Race car driver Jann] Mardenborough's triumph of talent, will and perseverance is precisely the feel-good, adrenaline-pumping film audiences need to finish off the summer blockbuster season on the highest podium.","Sep 12, 2023"
Gran Turismo,tt stern-enzi,rotten,C,"It is a human interest story at its heart and that's part of the problem because I really liked this guy's story, but we really don't get enough. [Full review in Spanish]","Sep 12, 2023"
Gran Turismo,Sean P. Means,fresh,3/4,"The chief joy derived in “Gran Turismo,” — aside from the delight Blomkamp shows in editing together tight racing sequences — is watching Harbour tear through all the gruff-but-lovable coaching cliches and find the battered, vulnerable heart within.","Sep 10, 2023"
Gran Turismo,Mark McPherson,fresh,,It’s a well-shot movie with racing that makes up for the ho-hum drama that unfolds off the track. There’s a certain tension to see how the stellar racing footage can pick up the slack of a rather paint-by-numbers sports biography.,"Sep 8, 2023"
Gran Turismo,David Nusair,fresh,2.5/4,...an intriguing premise that’s employed to relentlessly uneven yet mostly entertaining effect by Neill Blomkamp...,"Sep 8, 2023"
Gran Turismo,Paula Vázquez Prieto,fresh,3/5,"What enriches the film the most, conceived under the mantra of ""based on a true story"" to make us believe the impossible, is an outsider's look at an elite tournament like GT or Formula 1. [Full review in Spanish]","Sep 7, 2023"
Gran Turismo,Stephen Silver,rotten,2/5,"The level of sports movie cliché is almost overwhelming; as is the notion that this movie about a craven marketing exercise is, itself, a craven marketing exercise.","Sep 7, 2023"
Gran Turismo,Terry Staunton,rotten,2/5,"The result is a film that struggles to get out of second gear, with a risk of viewer fatigue setting in long before the chequered flag is in sight.","Sep 7, 2023"
Gran Turismo,Andy Klein,fresh,,"It's got a lot of a heart and is generally engaging throughout. It's 2 hours and 15 minutes, which I thought should be too long, but it keeps it going.","Sep 7, 2023"
Gran Turismo,Lael Loewenstein,fresh,,This was much better than I expected it to be and probably better than it had any right to be.,"Sep 7, 2023"
Gran Turismo,JD Duran,fresh,B-,"GRAN TURISMO has its blemishes, even beyond its formula, but on the whole its affecting and heartwarming.","Sep 6, 2023"
Gran Turismo,Erik Childress,rotten,1/4,"Anyone who continues to use Days of Thunder as a punchline while praising this one should find themselves reevaluating the latter because this is basically the same movie subtract a charismatic lead, some good lines and anything resembling engaging.","Sep 5, 2023"
Gran Turismo,Jackie K. Cooper,fresh,8/10,A true story captured on screen with brilliance.,"Sep 4, 2023"
Blue Beetle,John Serba,fresh,,"It’s best to appreciate the familial/community bond that bolsters Blue Beetle’s heroism; the world doesn’t need another superhero movie, but it really doesn’t need another Batman-loner type.","Sep 27, 2023"
Blue Beetle,Harris Dang,fresh,3/5,"Blue Beetle is an amiable, sincere, and fitfully enjoyable piece in the superhero genre that entertains and engages in both thrills and poignancy thanks to its grounded approach and Soto’s focus on family over special effects. Recommended.","Sep 24, 2023"
Blue Beetle,Tim Miller,fresh,3/4,"Blue Beetle’s director, Angel Manuel Soto, and screenwriter, Gareth Dunnet-Alcocer, could have concocted a family comedy with these engaging characters, eliminating the trite superhero theatrics, and they probably would have had a stronger film.","Sep 23, 2023"
Blue Beetle,Grant Watson,fresh,7/10,"Blue Beetle is charming, disposable pop entertainment. Not every film needs to be a apocalyptic spectacle.","Sep 21, 2023"
Blue Beetle,Leigh Paatsch,fresh,3/5,"While the special effects are a little clunky here, the non-action scenes featuring Jaime’s funky family circle are invariably warm, inviting, and fun.","Sep 20, 2023"
Blue Beetle,Cris Kennedy,fresh,,Gareth Dunnet-Alconer's screenplay has plenty of those big laughs and deserved bad-guy-comeuppances that slay in the hyped-up atmosphere of a large audience...,"Sep 19, 2023"
Blue Beetle,Jim Schembri,fresh,2.5/5,"The film serves up exactly what we now wearily expect, an over-egged slice of super-powered mulch with all the standard ingredients – blurs of action; overlong fight sequences; incoherent storytelling; and, of course, plenty of blue energy bolts.","Sep 16, 2023"
Blue Beetle,Jake Wilson,rotten,2.5/5,"Director Angel Manuel Soto and writer Gareth Dunnet-Alcocer do their best to weave a few additional progressive elements into this basically routine production, evidently aimed at younger viewers.","Sep 14, 2023"
Blue Beetle,Dave Lee,fresh,3.5/5,"With a smaller scale and beautiful focus on character, family, and culture... a genuinely refreshing change of pace from all the bombastic, overblown superhero features... a passionate effort that might just stand as one of the best solo origin flicks.","Sep 14, 2023"
Blue Beetle,Nadine Whitney,fresh,3/5,Blue Beetle is a good time and proves that with the right blend of heart and passion the lesser-known superheroes can soar.,"Sep 13, 2023"
Blue Beetle,Anthony O'Connor,fresh,13/20,"… if you’re up for two and a bit hours of amiable character work, noisy action (with dodgy CGI), good representation but a one dimensional villain and zero surprises, you might find something to like in Blue Beetle.","Sep 13, 2023"
Blue Beetle,Peter Gray,fresh,3/5,"Blue Beetle won’t recharge the timeline, but in taking itself less seriously it provides a sense of levity to a genre so often bogged down in its own self-importance.","Sep 12, 2023"
Blue Beetle,Sean P. Means,fresh,3/4,"If there’s a second movie, and that’s a big if, there’s a lot in Maridueña’s performance and the celebration of “la familia” that can be built on.","Sep 10, 2023"
Blue Beetle,tt stern-enzi,fresh,,It's a great story about family... There were a couple of moments I completely forgot I was watching a superhero film. I just wanted to spend time with these people.,"Sep 9, 2023"
Blue Beetle,Stephen Silver,fresh,3/5,"Arrives with low expectations, but the film is a pleasant surprise.","Sep 7, 2023"
Blue Beetle,Peter Rainer,rotten,,"For me it's a bifurcated experience with this movie. I appreciated it from a ""la familia"" level, but on any kind of comic book, action-adventure level, I thought it was kind of subpar.","Sep 7, 2023"
Blue Beetle,Manuel Betancourt,fresh,,"I had a fun time and can't begrudge a movie giving Adriana Barraza, a great Mexican actress, a lot of cheesy lines to deliver.","Sep 7, 2023"
Blue Beetle,Sabrina Ramirez,fresh,7.5/10,Blue Beetle hits everything we could want in a comic book adaptation and easily surpassed my expectations!,"Sep 2, 2023"
Blue Beetle,Bob Grimm,fresh,2.65/5,Feels like something you've seen before but scrapes by thanks to the cast.,"Sep 2, 2023"
Blue Beetle,Charles Pulliam-Moore,rotten,,"By the time Blue Beetle’s end credits start rolling ahead of a pretty predictable mid-credits teaser, there’s a solid chance you’ll find yourself thinking that it would have been more memorable had Warner Bros. not taken so long to get it into theaters.","Sep 1, 2023"
Bottoms,Felix Vasquez Jr.,rotten,,"Is it “Superbad” or “Jawbreaker”? The screenplay doesn’t seem to ever decide on a direction, which hinders the film, reducing it to something of a chore, and often a bore.","Sep 29, 2023"
Bottoms,John Serba,fresh,,"Seligman’s loosey-goosey approach to tone and plotting feels carefully designed to keep us off-kilter and therefore vulnerable to the film’s brand of blindside, kidney-punch comedy.","Sep 28, 2023"
Bottoms,Eve Tushnet,fresh,,Of course I loved it!,"Sep 28, 2023"
Bottoms,Peter Gray,fresh,4/5,"Bottoms, a wild, oft-violent, sexually liberated high-school comedy that honours John Hughes as much as it punches his mentality in the face.","Sep 26, 2023"
Bottoms,Katie Smith-Wong,fresh,4/5,"Through its heady combination of heart, sharp dialogue and irrepressible defiance of the conventional, it turns the typical high school comedy on its head with a full-on sucker punch.","Sep 24, 2023"
Bottoms,Francisca Tinoco,fresh,4/5,"'Bottoms' is never afraid to have fun, even when it comes at the cost of a reasonable plot or political correctness. It's an hysterical teen movie featuring two of the best talents of this generation.","Sep 23, 2023"
Bottoms,Brian Orndorf,fresh,B,"Seligman and Sennott don’t take their premise the whole way, leading to some disappointment, but they have something here that’s quite different at times, and uproarious when it wants to be.","Sep 22, 2023"
Bottoms,Alex Barr,fresh,4/4,"If you can handle the edgy jokes that would get a Tumblr user canceled in a heartbeat, Bottoms will make you laugh until you cry in the best way possible.","Sep 21, 2023"
Bottoms,Mario Alegre,fresh,,"A totally unhinged teen sex comedy, with very little sex and an obscene amount of comedy. More Ayo Edibiri in everything, please. [Full Review in Spanish]","Sep 15, 2023"
Bottoms,Sarah C. Jones,fresh,,"The result is a film that sometimes feels hollow, but it’s so hilarious and shocking that it’s still pretty easy to love.","Sep 15, 2023"
Bottoms,Margot Harrison,fresh,4/5,"Bottoms moves at a relentless pace, tossing out one-liners like firecrackers.","Sep 15, 2023"
Bottoms,Ian Thomas Malone,fresh,,"Bottoms is one of the greatest high school narratives of the twenty-first century, a triumph of queer cinema.","Sep 14, 2023"
Bottoms,Jorge Rivera Rubio,fresh,4/5,"One of the best comedies of the year, immediately entering any list of films about young people getting into trouble looking for sexy time, never falling into vulgar, but also not afraid to throwing down the dirty. [Full review in Spanish]","Sep 14, 2023"
Bottoms,Jodi Walker,fresh,,"Rachel Sennott, Ayo Edebiri, and Molly Gordon have crafted a comedic vibe all their own, and with the release of Bottoms, it grows ever stronger.","Sep 13, 2023"
Bottoms,Robert Roten,fresh,B,"This fight club group's final actions in the movie reminded me a bit of the final defiant actions in Animal House. The fight club's final stand is not quite as pointless as that of Delta Tau Chi's, but it is equally outrageous.","Sep 13, 2023"
Bottoms,Brandon Judell,fresh,,"Having beaten Everything Everywhere All At Once’s opening-week take and with a continued solid box-office, Bottoms won’t win any Oscars but the film just might prove to the powers that be that sapphic cinema is a money-making proposition.","Sep 11, 2023"
Bottoms,James Berardinelli,fresh,3/4,"The characters are relatable, the humor generates laughter without becoming moronic, and the feel-good vibe is never far from the surface.","Sep 11, 2023"
Bottoms,Mel Valentin,fresh,,"A hilarious, original, must-see queer teen comedy.","Sep 10, 2023"
Bottoms,Sean P. Means,fresh,3.5/4,"Seligman and Sennott’s script is bracingly funny, skewering the high-school-as-life intensity and the baked-in misogyny of that generation of teen comedies.","Sep 10, 2023"
Bottoms,Jared Mobarak,fresh,7/10,"You do need to get on its wavelength to enjoy it to the fullest. It probably skews too crazy for my own liking, but I had a smile on my face throughout and laughed out loud enough to become a legitimate fan.","Sep 9, 2023"
A Million Miles Away,Laura Hiros,fresh,4/5,"Co-written and directed by Alejandra Márquez Abella, A Million Miles Away is an excellent choice to enjoy with family. A motivating lesson about the power of a dream: if there is enough punch, the dream can actually become true. [Full Review in Spanish]","Sep 29, 2023"
A Million Miles Away,Aaron Neuwirth,fresh,7/10,"On top of all this is the winning lead performance from Peña, who makes it nearly impossible not to like this guy. We accept his dream and want him to succeed.","Sep 27, 2023"
A Million Miles Away,Ruben Peralta Rigaud,rotten,,The result is not very emotional. The whole thing is a bit too superficial.  [Full review in Spanish],"Sep 25, 2023"
A Million Miles Away,Christian Toto,fresh,3/4,Rose Salazar brings grace and grit to improbable astronaut tale.,"Sep 24, 2023"
A Million Miles Away,Lupe Rodriguez Haas,fresh,A-,"Michael Peña once again proves he’s one of the best actors working in Hollywood. The movie is a feel-good and inspirational story. It's perfect family entertainment, especially for Latinos who rarely see themselves portrayed positively on screen.","Sep 20, 2023"
A Million Miles Away,Erik Childress,rotten,2.5/4,Michael Pena and Rosa Salazar do nice work about nice people in a film that feels almost too nice for its own good but lacks any kind of cinematic ambition and will forever feel locked into the blandness of TV movie-of-the-week territory.,"Sep 19, 2023"
A Million Miles Away,M.N. Miller,fresh,B+,A Million Miles Away is the year's best family film.,"Sep 19, 2023"
A Million Miles Away,Robert Denerstein,fresh,,"It's quite a journey and A Million Miles Away, based on a memoir Hernandez wrote, does everything it can to honor it.","Sep 18, 2023"
A Million Miles Away,Michael Ordoña,fresh,,"A Million Miles Away doesn’t exactly zoom past the stratosphere, but it’s kept in orbit by Hernández’s inspirational true story and the comfort of family ties.","Sep 18, 2023"
A Million Miles Away,John Serba,fresh,,"Despite its rickety foundation, the movie works for the most part, pushing past some of the rote look-at-all-the-sacrifices-Jose’s-family-made-for-him melodrama to emphasize the challenges a Mexican-American man must overcome to achieve a wild dream.","Sep 18, 2023"
A Million Miles Away,Ruth Maramis,fresh,4/5,A lively & inspiring biopic that truly goes the distance. It celebrates José Hernández's story with an equal sense of wonder & heartfelt passion.,"Sep 17, 2023"
A Million Miles Away,Don Shanahan,fresh,4/5,"There’s not a second where this film’s heart is not in the right place, and this school teacher will take these submissions every chance he gets.","Sep 16, 2023"
A Million Miles Away,Adrian Horton,fresh,3/5,It’s a story that exceeds the bounds of Earth with enough heart to keep it grounded.,"Sep 15, 2023"
A Million Miles Away,Alex Bentley,fresh,,"The film is inspiring, featuring an appealing lead performance by Peña, who doesn’t get as many starring roles as he should.","Sep 15, 2023"
A Million Miles Away,Todd Jorgenson,fresh,,"While not as ambitious as its true-life protagonist, this crowd-pleasing biopic highlights a step forward for representation both in the cosmos and here on Earth.","Sep 15, 2023"
A Million Miles Away,Allison Rose,fresh,4.5/5,"If you need a feel good story, let me recommend A Million Miles Away.  Peña and Salazar definitely make it worth the ride.","Sep 15, 2023"
A Million Miles Away,Douglas Davidson,fresh,3/5,"However, with the exception of a few moments in which the film dares to be authentic and feature stirring performances from its two leads, it ends up falling in line with most every other biopic in terms of style and presentation.","Sep 15, 2023"
