Movie,Critic Name,Critic Rating,Critic Original Score,Critic Text,Critic Date
Everything Everywhere All at Once,Eve Tushnet,rotten,,"The filmmakers try to load the entire weight of life, the universe, and everything onto their movie. This is too many things on a bagel.","Mar 24, 2023"
Everything Everywhere All at Once,Carla Renata,fresh,,"Michelle Yeoh proves that being a middle aged immigrant has no boundaries and she is backed up with the amazingly gifted talents of Ke Huy Quan, Jaime Lee Curtis and Stephanie Hsu !  The Daniels provide a supreme sci-fi smorgasbord for the ages.","Mar 22, 2023"
Everything Everywhere All at Once,Milana Vujkov,rotten,2/5,"It holds within it a great idea, when one disentangles it from the hairball that is the EEAAO narrative. But [...] in all its originality, it telegraphs its message, instead of allowing this intricately constructed ingenious world to be the message.","Mar 19, 2023"
Everything Everywhere All at Once,Robin Holabird,fresh,,"Outrageous, confusing or confounding, Everything Everywhere All At Once stands out as one of the most original movies to come along in years.","Mar 16, 2023"
Everything Everywhere All at Once,A.S. Hamrah,rotten,,"The humor, though, is silly and second-rate. The googly eyes, the talking raccoon, the pet rocks at sunset, the parody of 2001: A Space Odyssey—all those work against the cast instead of with it.","Mar 16, 2023"
Everything Everywhere All at Once,Eric Webb,fresh,A,"Much like a hallucinogen might cause you to cycle through every human emotion and see your life laid out end to end — theoretically — this film has an ability to dazzle built into every kinetic, colorful, madcap frame.","Mar 16, 2023"
CODA,Nadine Whitney,fresh,,"CODA is a delight, a warm hug of a film that knows its genre and makes the very most of it. Siân Heder’s script is simple, and the message that she sends is heartfelt. A crowd-pleaser with love to spare.","Sep 17, 2023"
CODA,Mo Muzammal,rotten,,...weakening a film whose representation of the underrepresented is so intense at times that its dependence on Hallmark-like characteristics is more than mildly disappointing.,"Jul 27, 2023"
CODA,Zach Pope,fresh,,A Must Watch Winner that will delight you,"Jul 26, 2023"
CODA,Manuel São Bento,fresh,A,"Siân Heder offers her impeccable direction and beautifully written screenplay, which is packed with emotionally powerful moments that left me tearing up for the last forty-five minutes.","Jul 24, 2023"
CODA,Mark Johnson,fresh,,"CODA is a simple, moving film with great performances.","Jun 27, 2023"
CODA,Connie Guglielmo,fresh,,What so impressed me and makes this a movie I'd recommend is how writer and director Sian Heder used sound -- and the lack of sound -- to showcase the beauty and emotional power of music to connect with people.,"Mar 31, 2023"
CODA,Benjamin Wiebe,fresh,,"With one of the most clever scripts of the year, CODA made me feel a lot of feelings.","Feb 10, 2023"
CODA,Cate Young,fresh,,"""CODA is sweet, sincere and genuinely funny in parts, and it’s precisely the kind of coming-of-age film that we should hope to see more of. ""","Nov 19, 2022"
CODA,Josh Larsen,fresh,3/4,...alternates between being contrived and genuinely moving.,"Oct 9, 2022"
CODA,M.N. Miller,fresh,4.5/5,CODA is cathartic. A film that put a giant lump in your throat while at the same time lifting your spirits.,"Oct 9, 2022"
CODA,Rob Gonsalves,fresh,C,It’s a movie about a cute kid who wants to go off to Fancy School in the City. The deafness is very much incidental.,"Aug 24, 2022"
CODA,Keith Garlington,fresh,4/5,The humor makes for a great compliment to the coming-of-age drama which follows a pretty conventional blueprint but enhances it with a uniquely fresh perspective.,"Aug 17, 2022"
CODA,DarkSkyLady,fresh,,"Films like these highlight the differences and similarities and seek the bridge that gap as well as share a story of struggle, growth, and exploration. This film does all three magnificently and will bring audiences to tears.","Aug 14, 2022"
CODA,Cris Kennedy,fresh,4/5,"... The bones of The Belier Family are fleshed out in new, muscular ways by writer-director Sian Heder, working with deaf creative collaborators Anne Tomasetti and Alexandria Wailes.","Aug 4, 2022"
CODA,Tatat Bunnag,fresh,,"CODA works well to deliver effective drama, music and some comedy with character conflicts that are relatable.","Jul 1, 2022"
CODA,Carlos Boyero,fresh,,"A foreseeable story that's adamant to be kind and only threat is sweetening the characters and the situations they go through, and makes it clear that the ending, too, will be conveniently happy. [Full review in Spanish]","Jun 8, 2022"
CODA,Luis Martínez,rotten,2.5/5,"What hurts the most is the almost algorithmic…mechanisms of tabletop drama.
[Full review in Spanish]","May 12, 2022"
CODA,Joe Lipsett,fresh,4.5/5,"A feel good triumph and standard coming of age narrative. The opportunities afforded the deaf cast are cause for celebration, even if their stories would have been more exciting to see compared to the familiar YA romance of the hearing protagonist","Apr 25, 2022"
CODA,Chris McCoy,fresh,,CODA is a classic story of intergenerational conflict spiced up with a culture clash narrative between the deaf and hearing communities. The execution is nearly flawless,"Apr 13, 2022"
CODA,Don Shanahan,fresh,,Heart sometimes beats prestige and we couldn't be more OK with that.,"Apr 9, 2022"
Nomadland,Jillian Chilingerian,fresh,,Zhao is a master at capturing people and their stories in such an authentic way that is usually water-downed in movies.,"Aug 30, 2023"
Nomadland,Greg Carlson,fresh,,One of the great pleasures of Nomadland is the consistently shrewd and perceptive manner in which Fern’s hidden depths and flinty pragmatics defy expectations,"Jul 28, 2023"
Nomadland,Paul Kanieski,fresh,,Nomadland is a sobering tale of survival within the wake of the greatest economic downturn since the Great Depression.,"Jul 24, 2023"
Nomadland,Manuel São Bento,fresh,B+,"Nomadland offers a contemplative, enlightening, touching story about a nomad's life, starring real-life people that make this film much more special. Gorgeous cinematography and a lovely score tremendously elevate the movie.","Jul 24, 2023"
Nomadland,Mark Johnson,fresh,,"Joshua James Richards’ masterful cinematography shines in this intimate film, which transcends the portrayal of the bleak nomad lifestyle and instead delves into a captivating character study.","Jun 27, 2023"
Nomadland,Brett Doze,fresh,,"Zhao’s stunning, masterful work in Nomadland looks to be rewarded as one of the most unique and inspired choices by the Academy in this category...","May 2, 2023"
Nomadland,Jennifer Bisset,fresh,,Members of the supporting cast are real-life nomads playing fictionalized versions of themselves. See this extraordinary piece of filmmaking...,"Mar 31, 2023"
Nomadland,Brian Susbielles,fresh,,"Zhao’s follow-up to the brilliant The Rider hits every single mark dead center. It is an odyssey of real-life people symbolized in one person, encapsulated in Frances McDormand’s best performance since Fargo.","Mar 6, 2023"
Nomadland,Carlos Ovalle,fresh,7.5/10,"Nomadland revels in stark realism, and the real people that are used really add to the atmosphere and overall feel of the film. The story ultimately becomes less interesting as it moves along...","Jan 22, 2023"
Nomadland,Erick Estrada,fresh,,"Between non-fiction and non-documentary, Nomadland plays with the narrative shortcomings to dazzle us instead through contemplation... [Full review in Spanish]","Oct 18, 2022"
Nomadland,M.N. Miller,fresh,4.5/5,"Remarkably mindful, stoic, and just so beautiful.","Sep 11, 2022"
Nomadland,Zoë Rose Bryant,fresh,5/5,"Nomadland is an earnest and empathetic epic on an intimate scale, powered by Chloé Zhao's delicate direction and Frances McDormand’s poignant lead performance.","Sep 1, 2022"
Nomadland,Ishita Sengupta,fresh,3/4,"By elevating our circumstantial compulsion to the nobility of a purpose, Nomadland transforms from a film of our times to a timely film.","Aug 26, 2022"
Nomadland,Keith Garlington,fresh,4.5/5,"From a Nevada desert through the South Dakota Badlands to the Pacific coast, “Nomadland” is a work of visual poetry, but it’s the human element at its core that gives it such an emotional pull.","Aug 24, 2022"
Nomadland,Chase Hutchinson,fresh,4/4,Nomadland challenges us and presses on the most dire questions of our times. It examines what is left behind in the wreckage of our broken world.,"Aug 17, 2022"
Nomadland,Dan Bayer,fresh,8/10,The magic of that bigger canvas is that you become a different person for having watched Nomadland. Knowing these people and places changes your perspective.,"May 13, 2022"
Nomadland,Brian Eggert,rotten,2.5/4,What is presented as a fulfilling alternative lifestyle embraced by people living on the fringes of society becomes a portrait of a broken person using the road to escape her past and shield herself from emotional ties.,"Feb 17, 2022"
Nomadland,Nick Boyd,fresh,,The cinematography beautifully captures the desolate landscapes and the wide-open terrain of this country.,"Dec 28, 2021"
Nomadland,Victor Pineyro,fresh,9/10,"We are terrified by the idea that, as Fern, we might have an incredibly frail appearance of stability. What would we do if life doesn't turn out the way we wanted it to? Nomadland provided the freedom we wanted in 2020. [Full review in Spanish]","Oct 22, 2021"
Nomadland,Fernanda Solórzano,rotten,,Beautiful cinematography in an alienating film doesn't have much value... [Nomadland] ends up idealizing an unideal situation. [Full review in Spanish],"Sep 28, 2021"
Parasite,Jillian Chilingerian,fresh,,"It is sadistic, angry and dark and has a lot to say about the system. This is the world we live in.","Aug 11, 2023"
Parasite,Jae-Ha Kim,fresh,4/4,"""Parasite"" has already made history for South Korea as the country's first film to win a Best Picture Academy Award. There are some moments I can't wrap my head around though, and one of them was the inclusion of Illinois State into the dialogue.","Jul 28, 2023"
Parasite,Manuel São Bento,fresh,A+,"Cinematography, score, editing… everything’s absolutely perfect. Nothing is placed without purpose. Not a single line of dialogue is wasted. It would be a shame if anyone fails to watch this magnificent movie just because it’s in a foreign language.","Jul 24, 2023"
Parasite,Paul Kanieski,fresh,,"Radically different films such as Knives Out, Us and Joker ... have all expressed the same social criticism. Parasite is perhaps the most pointed, explicitly showing how economic inequality brings out the worst in everyone, rich and poor alike.","Jul 20, 2023"
Parasite,Mark Johnson,fresh,,"Bong Joon Ho’s many-sided, dark social satire is a cunning and resourceful commentary on South Korea’s economic inequality. Why it works is the relevance of that system across societies of every nation.","Jun 14, 2023"
Parasite,Elle Haywood,fresh,,"These tiny details underline the inherent horror, and concur with the genre-defying essence of the story...","May 15, 2023"
Parasite,Patricia Puentes,fresh,,Parasite will move you like nothing else.,"Mar 31, 2023"
Parasite,Brian Susbielles,fresh,,It is the last good thing that has happened since the shutdown...,"Mar 1, 2023"
Parasite,Brian T. Carney,fresh,,Visually stunning and searing satire...,"Dec 7, 2022"
Parasite,Dallas King,fresh,5/5,"Incredible storytelling and examination of the class structure in Korea... Strong characterisation and performances create empathy from audiences, themselves becoming parasites to the film as host. Clinging on for dear life until the thrilling conclusion.","Nov 12, 2022"
Parasite,Victor Pineyro,fresh,10/10,"Delicate directing and immaculate production design make Parasite the masterpiece it is. Its social-study script belongs in a lab, as it comes with storytelling lessons that transcend language. Reason why it became universal. [Full review in Spanish]","Oct 21, 2022"
Parasite,Keith Garlington,fresh,4.5/5,"With a delicious black comedy edge, some surprising jolts of heartfelt emotion, and a violent throat punch when you’re least expecting it, “Parasite” is a movie that keeps you engaged and guessing.","Aug 24, 2022"
Parasite,M.N. Miller,fresh,4.5/5,"Here is a dark comedy from the great Bong Joon-Ho about class warfare that, depending on your mood, you may find to be a work of genius or too self-indulgent. One thing is certain, you’ve never seen anything quite like it.","Aug 20, 2022"
Parasite,Rahul Desai,fresh,,Bong Joon-ho's Parasite is a wryly detailed and superbly scripted portrait of contemporary class rage.,"Jul 20, 2022"
Parasite,Tom O'Brien,fresh,10/10,"This is a filmmaker working at the top of his game, aided by brilliant satirical writing that feels as culturally relevant as it is emotionally resonant. It is a flawless knockout in every sense of the word.","Jun 14, 2022"
Parasite,Brian Eggert,fresh,4/4,"Though Bong calls Parasite a ""tragicomedy"" and layers the material with lively humor and his signature tonal playfulness, it's also his most furious and most fatalistic picture to date.","Feb 23, 2022"
Parasite,Jeffrey Harris,fresh,9.5/10,"Bong Joon-ho has created something with Parasite thats darkly humorous, compelling, dramatic, poignant, and bittersweet all at the same time.","Feb 14, 2022"
Parasite,Taylor Baker,fresh,96/100,Episode 52: Jojo Rabbit / The Lighthouse / Parasite,"Dec 1, 2021"
Parasite,Jeffrey Zhang,fresh,A,A twist-laden narrative that effortlessly shapeshifts from comedy to drama to thriller with liquid ease.,"Sep 7, 2021"
Parasite,Nicholas Oon,fresh,9/10,"My respect for Bong Joon-Ho is up in the sky, because he and everyone else involved in this movie pretty much knocked it out of the park on multiple fronts.","Sep 4, 2021"
Greenbook,Mark Johnson,fresh,,"An enjoyable buddy flick with strong performances from Mahershala Ali and Viggo Mortensen, it’s a shame the plot ends up being so passé – as well intentioned and entertaining as it is.","Jun 27, 2023"
Greenbook,Brian T. Carney,rotten,,"Despite good intentions, a promising scenario and fine performances, “Green Book” is the latest version of Hollywood’s “Great White Savior” movie.","Dec 7, 2022"
Greenbook,Keith Garlington,fresh,3.5/5,The biggest strength lies in the chemistry between Mortensen and Ali. Without it the entire movie would fall apart.,"Aug 21, 2022"
Greenbook,M.N. Miller,fresh,4/5,"Green Book is not for the cold-hearted cynic, but for the romantic moviegoer who wants nothing more than to see the good in people and let that feeling wash over them.","Aug 17, 2022"
Greenbook,Brian Eggert,fresh,3/4,"Tears will be shed, laughs will be had, and crowds will love it. The viewer might not always feel good about how those reactions are achieved; despite the overwhelming feel-goodness of the experience, you can see Green Book's gears operating.","Mar 8, 2022"
Greenbook,Ben Turner,fresh,4/5,"This is a deftly scripted comedy with a message. Anchored by two outstanding performances, this true story of an unlikely friendship will warm even the most jaded of hearts with its comic look on a dark chapter of American history.","Sep 1, 2021"
Greenbook,Nicolás Delgadillo,rotten,2.,It's irresponsible and dismissive of the very thing it seemingly wants to talk about.,"Jun 25, 2021"
Greenbook,Alex Bentley,rotten,,"With so many other recent movies finding a way to address racial issues in both entertaining and considerate methods, Green Book feels like a wrongheaded throwback. It may give you some good feelings, but its message is only half-baked.","Apr 29, 2021"
Greenbook,Joanne Laurier,fresh,,"For its humanistic, anti-racialist message-the elementary notion that white and black people can get along-Green Book has been well received by audiences.","Feb 17, 2021"
Greenbook,Richard Crouse,fresh,4/5,"Probably could have hit a little harder but its message of unity, of creating bridges rather than walls, is a welcome one in these politically divisive times.","Feb 3, 2021"
Greenbook,Mike Massie,fresh,7/10,"The two leads are quite impressive, managing to overcome the limitations of their largely stock roles.","Dec 6, 2020"
Greenbook,Matthew St. Clair,rotten,,"It's a movie about racism by whites for whites and in a year full of extraordinary films about race by black filmmakers, Green Book sticks out like a sore thumb partially because of that.","Oct 2, 2020"
Greenbook,Richard Propes,fresh,3.5/4.0,"it's light and breezy and matter-of-fact and truly, truly entertaining.","Sep 9, 2020"
Greenbook,Victor Pineyro,fresh,8/10,"Mahershala Ali and Viggo Mortensen are a match made in heaven. In its political correctness, it finds moments of truth. [Full review in Spanish]","Sep 2, 2020"
Greenbook,Jason Fraley,fresh,4/4,"""Green Book"" is one of those rare crowd pleasers with the chops to go the Oscar distance. It's a film most easily described as a reverse ""Driving Miss Daisy"" (1989) when really it's so much more than that.","Aug 29, 2020"
Greenbook,Tom Beasley,fresh,3/5,"For the most part it's solid, even though it's about as subtle as a piano falling down a flight of stairs.","Aug 16, 2020"
Greenbook,Matt Cipolla,rotten,2/5,Ali is stuck trying to breathe life into a cardboard cutout of a real person who . . . is left standing like an uncooked noodle who only curdles when the script lets him.,"Jul 25, 2020"
Greenbook,Scott Phillips,fresh,,"...the relationship at its core helps to dilute its sentimentality before it overwhelms the film. Like Dr. Shirley, Green Book doesn't sell out entirely, just a little bit.","Jul 24, 2020"
Greenbook,Zehra Phelan,fresh,4/5,A charming road trip movie which is truly affecting. Farrelly's has delivered a touchingly tender bromance story in the face of adversity.,"Jul 13, 2020"
Greenbook,Ricardo Gallegos,fresh,,"It's simple, has some good humour, and a very basic message about the power of friendship. [Full review in Spanish]","Jul 7, 2020"
The Shape of Water,Mark Johnson,fresh,,The meticulous craftsmanship is to be expected in any del Toro film and only adds to the magic spell he puts us under.,"Jun 27, 2023"
The Shape of Water,Jennifer Bisset,fresh,,"It balances a harsh 1960s setting with fairy tale magic painted into its big, beautifully-detailed sets. Only del Toro could pull this madness off.","Apr 20, 2023"
The Shape of Water,Chris Bennion,fresh,,"You’ll either be charmed by Hawkins’s ethereal, wordless performance or you won’t, but del Toro’s use of a vivid colour palette would impress anyone.","Feb 14, 2023"
The Shape of Water,Brian T. Carney,fresh,,Touching and surreal...,"Dec 15, 2022"
The Shape of Water,Keith Garlington,rotten,2.5/5,There is no subtlety whatsoever. You can practically hear del Toro beating his pulpit through much of Shannon’s dialogue.,"Aug 25, 2022"
The Shape of Water,Brian Eggert,fresh,4/4,"With a narrative that resonates in unexpected ways, the film offers a showcase for the talents of its stunning ensemble cast, especially Hawkins, who embodies innocence without becoming a symbol or losing her humanity.","Mar 16, 2022"
The Shape of Water,David Gonzalez,fresh,3.5/4,"The Shape Of Water is another success for Del Toro, who has yet to received a Best Director nomination at the Academy Awards but looks to be on his way to his first. A film that should be looked at and appreciated for its beauty and message.","Feb 18, 2022"
The Shape of Water,Drew Dietsch,fresh,5/5,"An unadulterated celebration of classical romance, monster movies, and the captivating sorcery of filmmaking.","Dec 29, 2021"
The Shape of Water,Milana Vujkov,fresh,5/5,"This intoxicating burst of goodness celebrates connection, the space in-between, the silence of it, a quiet reading of heartbeats, the way we dance inside.","Jul 29, 2021"
The Shape of Water,Fletcher Powell,fresh,,Leave your cynicism at the door-- there's no place for it here.,"Jul 20, 2021"
The Shape of Water,Nick Reilly,fresh,4/5,"Ultimately, del Toro's masterpiece is an utter triumph in finding love and humanity in the most unlikely of places - and it asks us to do exactly the same.","Jun 30, 2021"
The Shape of Water,Yasmin Omar,fresh,4/5,"Without making a sound, Hawkins delivers a moving, entirely gestural performance that has charmed critics.","Jun 25, 2021"
The Shape of Water,Jim Rohner,fresh,,Social politics have always provided del Toro's films with both subtext and context but The Shape of Water is the most literal translation of his embracing of the Other as beautiful...,"Apr 14, 2021"
The Shape of Water,Ian Brill,fresh,,"A romance between two characters who never speak which means Del Toro must depict their love only in visuals. This leads to many beautiful cinematic scenes, including one of the most unique, and but wonderful, sex scenes in recent years.","Apr 13, 2021"
The Shape of Water,Tori Brazier,fresh,4/5,"... Worthy of acclaim for its bold imagination, design and straddling of genres, as well as a heavy-weight cast, but it's perhaps more conventional than people might expect.","Mar 25, 2021"
The Shape of Water,Alix Turner,fresh,4/5,A what-if story... What if The Creature from the Black Lagoon found love? What if Beauty and the Beast were set in Cold War USA?,"Jan 27, 2021"
The Shape of Water,Mike Massie,rotten,5/10,The story falls into a pattern of contrived confrontations that culminates in an underwhelming union.,"Dec 5, 2020"
The Shape of Water,Dan Buffa,fresh,,"Del Toro's story is built on a beautiful landscape brought to life by production design master Paul Austerberry and Dan Laustner, whose cinematography paints a pulpy noir coat of paint on a tumultuous period in American history.","Nov 6, 2020"
The Shape of Water,Dennis Harvey,fresh,,This beautifully crafted fantasy falls somewhere between del Toro's more personal Spanish-language films (like Pan's Labyrinth) and his American popcorn spectaculars.,"Oct 19, 2020"
The Shape of Water,Matthew St. Clair,fresh,,"From the very first frame to the last, The Shape Of Water is a captivating and emotional experience.","Oct 9, 2020"
Moonlight,Rebecca Johnson,fresh,5/5,"Widely regarded as one of the most intimate and well-made movies of all time, Moonlight is nothing short of a masterpiece, every element coming together to create an experience that can be appreciated by all.","Aug 6, 2023"
Moonlight,Tina Kakadelis,fresh,,"It is so clear that Jenkins is paying respect to the people he knew growing up and the boy he was. Moonlight is honest and open, exactly what a movie of this type should be.","Jul 25, 2023"
Moonlight,Chase Hutchinson,fresh,,"Beautifully shot, dynamically acted, and with a magnificent score, it is the type of film that only grows more emotionally potent as time passes.","Jul 12, 2023"
Moonlight,Andrea Thompson,fresh,,"Jenkins portrays a world so often fetishized and reduced to its most violent outcomes from the inside, with tenderness and Wong Kar-wai’s influence on his cinematic sleeve.","Jun 21, 2023"
Moonlight,Mark Johnson,fresh,,"There are very few coming-of-age films that are more delicate, intimate, and utterly bewitching than Barry Jenkins’ Moonlight.","Jun 14, 2023"
Moonlight,Jennifer Bisset,fresh,,Gorgeous to look at and accompanied by an exquisite soundtrack.,"Apr 20, 2023"
Moonlight,Brian T. Carney,fresh,,The film is a stunning portrayal of a young black man at three stages of his life and features sizzling performances by an amazing ensemble cast and lush cinematography by James Laxton.,"Dec 21, 2022"
Moonlight,Brian Eggert,fresh,4/4,"The director's filmmaking radiates a poetry in his storytelling and visual aesthetic, creating a film that resonates with the viewer in the head and heart.","Apr 9, 2022"
Moonlight,Victoria Luxford,fresh,5/5,"Ending as enigmatically as it begins, Moonlight is a film about the lives that slip between the cracks. Its unmissable.","Feb 21, 2022"
Moonlight,David Gonzalez,fresh,4/4,"Moonlight is one of the very best films of the year so far. It is a reminder that despite background, geographic location, race, or sexual orientation, everyone seeks comfort, shelter, someone, and a space in which we can truly be ourselves.","Feb 14, 2022"
Moonlight,Ben Turner,fresh,5/5,"The cinematic treatment leaves this diminutive urban story feeling grand, classical and majestic.","Sep 2, 2021"
Moonlight,Kip Mooney,fresh,A,"A refreshing, bracing break from not just what Hollywood churns out, but also from the awards-driven independent films that dominate the end of the year.","Aug 28, 2021"
Moonlight,Matt Brunson,fresh,3.5/4,"Black lives matter in the quiet, contemplative Moonlight, but let's not stop there.","Aug 18, 2021"
Moonlight,Olly Richards,fresh,5/5,A majestic film of gentle moments and pregnant silences.,"Apr 28, 2021"
Moonlight,Ian Brill,fresh,,What makes Moonlight so amazing is that it almost shouldn't work at all. It is a character study with no lead actor.,"Apr 13, 2021"
Moonlight,Nijla Mu'min,fresh,,Moonlight displays the kind of empathy and humanity that we desperately need right now.,"Feb 17, 2021"
Moonlight,Richard Crouse,fresh,4/5,A movie that beats with a very human heart while subverting expectations with almost every scene.,"Feb 3, 2021"
Moonlight,Rudie Obias,fresh,,"Moonlight is one of the best movies of the year from a new and exciting voice in cinema. With his second film, Berry Jenkins shows a maturity beyond his years...","Dec 23, 2020"
Moonlight,Mike Massie,fresh,8/10,"A fascinating character study that is sometimes tender, sometimes ferocious, yet always profound.","Dec 5, 2020"
Moonlight,Luke Gorham,fresh,,[Delivers] as both a remarkable exercise in sensuousness and a wholly affecting look at suffocated identity.,"Aug 13, 2020"
Spotlight,Mark Johnson,fresh,,"It’s not just that it is a profound story, but one that is executed to perfection that draws out such emotion.","Jun 14, 2023"
Spotlight,Jennifer Bisset,fresh,,"[It] wound gripping tension into the unglamorous legwork of journalists, played by a perfectly-balanced ensemble including Mark Ruffalo, Michael Keaton and Rachel McAdams.","Apr 20, 2023"
Spotlight,Keith Garlington,fresh,5/5,"There is an incredible balance within the film. It is a journalism procedural, but there is also the serious and unsettling story we witness being uncovered.","Aug 25, 2022"
Spotlight,Josh Parham,fresh,9/10,The excellent ensemble of actors holds up a story that is straight-forward but effective in its dedication to the painstaking research needed to uncover such an important story.,"May 27, 2022"
Spotlight,Brian Eggert,fresh,4/4,"McCarthy's sobering drama affects on multiple levels, from personal to spiritual.","Apr 25, 2022"
Spotlight,Michael J. Casey,fresh,4/5,Little pieces expose an entire world.,"Aug 16, 2021"
Spotlight,Kip Mooney,fresh,A-,Perfectly paced and structured like a thriller.,"Aug 10, 2021"
Spotlight,Alex Bentley,fresh,,The power the media has to affect change and expose corruption is one that should never be taken for granted. It takes a special movie like Spotlight to bring this back into focus.,"Jul 30, 2021"
Spotlight,Olly Richards,fresh,,"No tights or capes, but this is a film about superheroes.","Jun 8, 2021"
Spotlight,Joanne Laurier,fresh,,One of the film's strengths is that it shows the Catholic hierarchy as an essential component of Boston's political and social superstructure.,"Feb 26, 2021"
Spotlight,Wesley Lovell,fresh,4/4,A glimpse behind the scenes of the Boston Globe's revelatory articles exposing pedophilia in the Roman Catholic Church takes few prisoners and paints the staff of the Globe as heroes who had to put aside their own cherished beliefs to bring about justice.,"Dec 16, 2020"
Spotlight,Mark Jackson,fresh,4.5/5,"A syllogism: A) The Communist agenda put 1,100 men into the Catholic church to destroy it from within. B) The destruction was due to rampant pedophilia. C) Therefore, the 1,100 men were chosen because they were pedophiles. ""Spotlight"" shows why.","Dec 12, 2020"
Spotlight,Mike Massie,fresh,8/10,It's practically a documentary in the way that it depicts the reporting that led to the unearthing of 2001's shattering Catholic Archdiocese scandal.,"Dec 4, 2020"
Spotlight,Richard Propes,fresh,4.0/4.0,A nearly perfect example of what happens when the perfect filmmaker works with the perfect script and acquires the perfect cast and crew to bring a story to life.,"Sep 24, 2020"
Spotlight,Ricardo Gallegos,fresh,,A celebration of the profession and a source of inspiration for every journalist. [Full review in Spanish],"Jun 28, 2020"
Spotlight,Yasser Medina,fresh,8/10,'Spotlight' reminds us the relevance of journalism in a society where the search for truth has been kidnapped by fallacies. [Full review in Spanish],"Jun 26, 2020"
Spotlight,Dan Scully,fresh,,"Relevant, exciting, and minimal (on a grand scale), this one is unmissable.","Apr 7, 2020"
Spotlight,Tim Brennan,fresh,,Spotlight itself is a masterpiece of grounded filmmaking.,"Feb 13, 2020"
Spotlight,Valerie Kalfrin,fresh,,"The script... is a marvel of conveying a dense amount of information and characterization with intelligence, grace, and a surprising amount of tension.","Jan 14, 2020"
Spotlight,Chris McCoy,fresh,,"For journalists and people who care about democracy and the value of open society, Spotlight is a master class on how things should be done.","Jan 13, 2020"
Birdman,Mark Johnson,fresh,,"Michael Keaton is incredible as the washed-up, disillusioned actor hoping a Broadway play will revive his career. The black comedy plays on an irreverent version of Keaton’s own career while being a wholly original satire on celebrity and super heroes.","Jun 14, 2023"
Birdman,Jennifer Bisset,fresh,,A creative tour de force for Alejandro González Iñárritu and some comeback for Michael Keaton.,"Apr 20, 2023"
Birdman,Vadim Rizov,rotten,,"Two hours later, I felt as if my initial disinterest had been validated the hard way...","Jan 24, 2023"
Birdman,Keith Garlington,fresh,3.5/5,It’s not quite as miserable and tragedy-driven as his past films and that’s refreshing. But Iñárritu is still a director who can suffocate his story with his style and high concepts.,"Aug 19, 2022"
Birdman,Brian Eggert,fresh,3.5/4,The film has a reflective—if not precognitive—purpose for Keaton by signifying the actor’s artistic breakthrough in Birdman after years out of the spotlight.,"Jul 18, 2022"
